Sample,total_reads,mapped_reads,percentage_aligned,10_x_pc,median_coverage,mean_coverage,median_insert_size,P25_Ins_size,avg_gc,Uncapped_Reads,Sub_Map_Pct_Aligned,Pct_Q30,sequenced_pool_component_id,search_id,coverage_gte_10_reads,fraction_acgt_bases,num_inserts_in_consensus,num_deletions_in_consensus,consensus_seq_name,assembly_method,timestamp,se_or_pe,seq_run,consensus_s3,trimmed_bam_s3,variants_s3,trimmed_bam_read_count,pi_metric,n_metric,bam_name,bjorn_coverage,bjorn_avg_depth,bjorn_min_coverage,bjorn_max_coverage,bjorn_num_w_zero_coverage,sample_collection_datetime,viral_load,collection_date,location
06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001,1915855.0,1915855.0,100.0,98.02360967127044,3578.0,9336.0779,215.0,150.0,42.48837891183705,53308868.0,3.594,99.98,06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_PLJUN16_R2,0.9704861111111112,0.9704861111111112,3.0,36.0,Consensus_06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,1902964.0,0.00221212,91.0,06_24_24_PLJUN16_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,96.9499,7173.63,0.0,133103.0,587.0,,,2024-06-16,Point Loma
06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001,1097278.0,1097278.0,100.0,97.59221482794368,2593.0,5009.5213,214.0,149.0,40.88755143073994,68235292.0,1.608,99.947,06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001,06_17_24_SBJUN16_R1,0.9588467560759752,0.958812716999115,17.0,48.0,Consensus_06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-56-21,pe,240627_1_SG_WW,s3://ucsd-all/240627_1_SG_WW/240627_1_SG_WW_results/2024-07-02_17-56-21_pe/240627_1_SG_WW_samples/06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001/06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_1_SG_WW/240627_1_SG_WW_results/2024-07-02_17-56-21_pe/240627_1_SG_WW_samples/06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001/06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_1_SG_WW/240627_1_SG_WW_results/2024-07-02_17-56-21_pe/240627_1_SG_WW_samples/06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001/06_17_24_SBJUN16_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.pileup.variants.tsv,1055224.0,0.00197761,65.0,,,,,,,,,2024-06-16,South Bay
06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001,6267015.0,6267015.0,100.0,99.01013276259908,12314.0,30497.5898,214.0,149.0,43.16784384947541,74091228.0,8.459,99.978,06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_PLJUN17_R2,0.9778405609639866,0.9778405609639866,17.0,48.0,Consensus_06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,6227472.0,0.00240953,97.0,06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,97.664,22986.1,0.0,380352.0,424.0,,,2024-06-17,Point Loma
06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001,6267015.0,6267015.0,100.0,99.01013276259908,12314.0,30497.5898,214.0,149.0,43.16784384947541,74091228.0,8.459,99.978,06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_PLJUN17_R2,0.9778405609639866,0.9778405609639866,17.0,48.0,Consensus_06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,6227472.0,0.00240953,97.0,,,,,,,,,2024-06-17,Point Loma
06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001,2071450.0,2071450.0,100.0,97.20094973748454,3467.0,10088.4717,218.0,150.0,42.78600709943179,79219878.0,2.615,99.977,06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_PLJUN18_R2,0.946010348583878,0.9459763071895424,18.0,51.0,Consensus_06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,2057873.0,0.00211346,80.0,,,,,,,,,2024-06-18,Point Loma
06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001,2071450.0,2071450.0,100.0,97.20094973748454,3467.0,10088.4717,218.0,150.0,42.78600709943179,79219878.0,2.615,99.977,06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_PLJUN18_R2,0.946010348583878,0.9459763071895424,18.0,51.0,Consensus_06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,2057873.0,0.00211346,80.0,06_24_24_PLJUN18_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,94.4677,7811.21,0.0,130548.0,879.0,,,2024-06-18,Point Loma
06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001,1873639.0,1873639.0,100.0,96.77624318630238,3517.0,9117.6943,215.0,150.0,42.92197171131182,40075422.0,4.675,99.98,06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001,06_24_24_PLJUN19_R1,0.9499505979353344,0.9499505979353344,5.0,63.0,Consensus_06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,1860824.0,0.00227958,102.0,06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,94.8961,6951.97,0.0,116114.0,574.0,,,2024-06-19,Point Loma
06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001,933884.0,933884.0,100.0,96.64916563555497,2052.0,4516.7178,224.0,150.0,42.41236160998033,32272246.0,2.894,99.981,06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_ENCJUN19_R2,0.9458797099969366,0.9458797099969366,17.0,47.0,Consensus_06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,915835.0,0.00172627,58.0,06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,94.4439,3530.6,0.0,49246.0,628.0,,,2024-06-19,Encina
06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001,1873639.0,1873639.0,100.0,96.77624318630238,3517.0,9117.6943,215.0,150.0,42.92197171131182,40075422.0,4.675,99.98,06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001,06_24_24_PLJUN19_R1,0.9499505979353344,0.9499505979353344,5.0,63.0,Consensus_06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001/06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,1860824.0,0.00227958,102.0,,,,,,,,,2024-06-19,Point Loma
06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001,933884.0,933884.0,100.0,96.64916563555497,2052.0,4516.7178,224.0,150.0,42.41236160998033,32272246.0,2.894,99.981,06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_ENCJUN19_R2,0.9458797099969366,0.9458797099969366,17.0,47.0,Consensus_06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN19_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,915835.0,0.00172627,58.0,,,,,,,,,2024-06-19,Encina
06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001,303541.0,303541.0,100.0,88.71016285991372,324.0,1468.641,150.0,145.0,43.63451431678144,23765876.0,1.277,99.987,06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_SBJUN20_R2,0.8136764355492018,0.8136764355492018,1.0,31.0,Consensus_06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,300937.0,0.00167246,46.0,06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,81.288,1069.55,0.0,23803.0,3048.0,,,2024-06-20,South Bay
06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001,3837603.0,3837603.0,100.0,98.27776477276528,7579.0,18682.5095,218.0,149.0,43.390557034489056,42678698.0,8.992,99.983,06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_ENCJUN20_R2,0.9773624727668844,0.9773624727668844,17.0,50.0,Consensus_06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,3811395.0,0.00191111,60.0,,,,,,,,,2024-06-20,Encina
06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001,303541.0,303541.0,100.0,88.71016285991372,324.0,1468.641,150.0,145.0,43.63451431678144,23765876.0,1.277,99.987,06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_SBJUN20_R2,0.8136764355492018,0.8136764355492018,1.0,31.0,Consensus_06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,300937.0,0.00167246,46.0,,,,,,,,,2024-06-20,South Bay
06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001,3837603.0,3837603.0,100.0,98.27776477276528,7579.0,18682.5095,218.0,149.0,43.390557034489056,42678698.0,8.992,99.983,06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_ENCJUN20_R2,0.9773624727668844,0.9773624727668844,17.0,50.0,Consensus_06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,3811395.0,0.00191111,60.0,06_24_24_ENCJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,97.6062,14180.4,0.0,237269.0,497.0,,,2024-06-20,Encina
07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001,1715429.0,1715429.0,100.0,93.65949904691836,2202.0,8190.4013,150.0,144.0,43.77265534511167,43076244.0,3.982,99.96,07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001,07_01_24_PLJUN23_R2,0.8861655773420479,0.8861655773420479,2.0,35.0,Consensus_07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-15_00-21-42,pe,240712_1_SG_WW,s3://ucsd-all/240712_1_SG_WW/240712_1_SG_WW_results/2024-07-15_00-21-42_pe/240712_1_SG_WW_samples/07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001/07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240712_1_SG_WW/240712_1_SG_WW_results/2024-07-15_00-21-42_pe/240712_1_SG_WW_samples/07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001/07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240712_1_SG_WW/240712_1_SG_WW_results/2024-07-15_00-21-42_pe/240712_1_SG_WW_samples/07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001/07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.pileup.variants.tsv,1693888.0,0.00227356,75.0,07_01_24_PLJUN23_R2__E0000000__X00__240712_1_SG_WW__001.trimmed.sorted.bam,88.5341,5867.76,0.0,111650.0,1534.0,,,2024-06-23,Point Loma
06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001,2778518.0,2778518.0,100.0,98.03364210948736,5723.0,13497.0064,214.0,149.0,42.58876552954479,47127148.0,5.896,99.982,06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001,06_24_24_SBJUN23_R2,0.970213779956427,0.970213779956427,3.0,36.0,Consensus_06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus_threshold_0.5_quality_20,iVar version 1.3.1,2024-07-02_17-57-03,pe,240627_2_SG_WW,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.consensus.fa,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,s3://ucsd-all/240627_2_SG_WW/240627_2_SG_WW_results/2024-07-02_17-57-03_pe/240627_2_SG_WW_samples/06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001/06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.pileup.variants.tsv,2758433.0,0.00215073,85.0,06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.bam,96.9227,10174.9,0.0,135051.0,688.0,,,2024-06-23,South Bay
