Sample,total_reads,mapped_reads,percentage_aligned,10_x_pc,median_coverage,mean_coverage,median_insert_size,P25_Ins_size,avg_gc,Uncapped_Reads,Sub_Map_Pct_Aligned,Pct_Q30,sequenced_pool_component_id,search_id,coverage_gte_10_reads,fraction_acgt_bases,num_inserts_in_consensus,num_deletions_in_consensus,consensus_seq_name,assembly_method,timestamp,se_or_pe,seq_run,consensus_s3,trimmed_bam_s3,variants_s3,trimmed_bam_read_count,pi_metric,n_metric,bam_name,bjorn_coverage,bjorn_avg_depth,bjorn_min_coverage,bjorn_max_coverage,bjorn_num_w_zero_coverage,sample_collection_datetime,viral_load,collection_date,location
2.17.23.PLFEB14.R2__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/14/23,,2023-02-14,Point Loma
2.17.23.PLFEB14.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/14/23,,2023-02-14,Point Loma
2.22.23.ENCFEB14.R1__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/14/23,,2023-02-14,Encina
2.17.23.PLFEB15.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/15/23,,2023-02-15,Point Loma
2.17.23.PLFEB15.R1__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/15/23,,2023-02-15,Point Loma
2.17.23.SBFEB16.rerun__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/16/23,,2023-02-16,South Bay
2.17.23.SBFEB16.R2__NA__NA__230217_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/16/23,,2023-02-16,South Bay
2.22.23.ENCFEB17.R2__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/17/23,,2023-02-17,Encina
2.22.23.PLFEB19.R1.HELENA__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/19/23,,2023-02-19,Point Loma
2.24.23.SBFEB19.R1__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/19/23,,2023-02-19,South Bay
2.22.23.PLFEB20.R1.HELENA__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/20/23,,2023-02-20,Point Loma
2.22.23.ENCFEB21.R2__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/21/23,,2023-02-21,Encina
2.22.23.PLFEB21.R1__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/21/23,,2023-02-21,Point Loma
2.24.23.SBFEB21.R1__NA__NA__230224_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/21/23,,2023-02-21,South Bay
3.09.23.ENCMAR03.R2__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/03/23,,2023-03-03,Encina
3.08.23.PLMAR05.R2__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/05/23,,2023-03-05,Point Loma
3.10.23.SBMAR05.R1__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/05/23,,2023-03-05,South Bay
3.08.23.PLMAR06.R1__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/06/23,,2023-03-06,Point Loma
3.09.23.ENCMAR07.R2__NA__NA__230310_WW__00X.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/23,,2023-03-07,Encina
