Sample,Collection_Date,Location
07_22_24_SBJUL18_R2__E0000000__X00__240729_SG_WW__001,2024-07-18,South Bay
07_22_24_SBJUL18_R2__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-18,South Bay
07_22_24_ENCJUL18_R1__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-18,Encina
07_29_24_PLJUL21_R1__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-21,Point Loma
07_22_24_SBJUL21_R2__E0000000__X00__240729_SG_WW__001.sorted.bam,2024-07-21,South Bay
07_22_24_SBJUL21_R2__E0000000__X00__240729_SG_WW__001,2024-07-21,South Bay
07_29_24_PLJUL21_R1__E0000000__X00__240801_SG_WW__001,2024-07-21,Point Loma
07_29_24_PLJUL22_R1__E0000000__X00__240801_SG_WW__001,2024-07-22,Point Loma
07_29_24_PLJUL22_R1__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-22,Point Loma
07_29_24_PLJUL23_R2__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-23,Point Loma
07_29_24_PLJUL23_R2__E0000000__X00__240801_SG_WW__001,2024-07-23,Point Loma
07_29_24_SBJUL23_R1__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-23,South Bay
07_29_24_SBJUL23_R1__E0000000__X00__240801_SG_WW__001,2024-07-23,South Bay
07_29_24_PLJUL24_R2__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-24,Point Loma
07_29_24_PLJUL24_R2__E0000000__X00__240801_SG_WW__001,2024-07-24,Point Loma
07_29_24_SBJUL25_R1__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-25,South Bay
07_29_24_SBJUL25_R1__E0000000__X00__240801_SG_WW__001,2024-07-25,South Bay
07_29_24_ENCJUL25_R2__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-25,Encina
07_29_24_ENCJUL25_R2__E0000000__X00__240801_SG_WW__001,2024-07-25,Encina
07_29_24_ENCJUL26_R1__E0000000__X00__240801_SG_WW__001,2024-07-26,Encina
07_29_24_ENCJUL26_R1__E0000000__X00__240801_SG_WW__001.sorted.bam,2024-07-26,Encina
08_05_24_PLJUL28_R2__E0000000__X00__240808_SG_WW__001,2024-07-28,Point Loma
08_05_24_PLJUL28_R2__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-07-28,Point Loma
08_05_24_PLJUL29_R2__E0000000__X00__240808_SG_WW__001,2024-07-29,Point Loma
08_05_24_PLJUL29_R2__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-07-29,Point Loma
08_05_24_PLJUL30_R1__E0000000__X00__240808_SG_WW__001,2024-07-30,Point Loma
08_05_24_ENCJUL30_R2__E0000000__X00__240808_SG_WW__001,2024-07-30,Encina
08_05_24_ENCJUL30_R2__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-07-30,Encina
08_05_24_PLJUL30_R1__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-07-30,Point Loma
08_05_24_PLJUL31_R1__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-07-31,Point Loma
08_05_24_PLJUL31_R1__E0000000__X00__240808_SG_WW__001,2024-07-31,Point Loma
08_05_24_ENCAUG01_R1__E0000000__X00__240808_SG_WW__001,2024-08-01,Encina
08_05_24_SBAUG01_R1__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-08-01,South Bay
08_05_24_ENCAUG01_R1__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-08-01,Encina
08_05_24_SBAUG01_R1__E0000000__X00__240808_SG_WW__001,2024-08-01,South Bay
08_05_24_SBAUG04_R2__E0000000__X00__240808_SG_WW__001.sorted.bam,2024-08-04,South Bay
08_05_24_SBAUG04_R2__E0000000__X00__240808_SG_WW__001,2024-08-04,South Bay
08_12_24_PLAUG04_R2__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-04,Point Loma
08_12_24_PLAUG04_R2__E0000000__X00__240815_SG_WW__001,2024-08-04,Point Loma
08_12_24_PLAUG05_R1__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-05,Point Loma
08_12_24_PLAUG05_R1__E0000000__X00__240815_SG_WW__001,2024-08-05,Point Loma
08_12_24_PLAUG06_R2__E0000000__X00__240815_SG_WW__001,2024-08-06,Point Loma
08_12_24_SBAUG06_R1__E0000000__X00__240815_SG_WW__001,2024-08-06,South Bay
08_12_24_ENCAUG06_R2__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-06,Encina
08_12_24_ENCAUG06_R2__E0000000__X00__240815_SG_WW__001,2024-08-06,Encina
08_12_24_PLAUG06_R2__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-06,Point Loma
08_12_24_SBAUG06_R1__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-06,South Bay
08_12_24_PLAUG07_R2__E0000000__X00__240815_SG_WW__001,2024-08-07,Point Loma
08_12_24_PLAUG07_R2__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-07,Point Loma
08_12_24_ENCAUG09_R1__E0000000__X00__240815_SG_WW__001,2024-08-09,Encina
08_12_24_ENCAUG09_R1__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-09,Encina
08_12_24_SBAUG11_R2__E0000000__X00__240815_SG_WW__001.sorted.bam,2024-08-11,South Bay
08_12_24_SBAUG11_R2__E0000000__X00__240815_SG_WW__001,2024-08-11,South Bay
08_19_24_PLAUG11_R1__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-11,Point Loma
08_19_24_PLAUG11_R1__E0000000__X00__240822_SG_WW__001,2024-08-11,Point Loma
08_19_24_PLAUG12_R1__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-12,Point Loma
08_19_24_PLAUG12_R1__E0000000__X00__240822_SG_WW__001,2024-08-12,Point Loma
08_19_24_ENCAUG13_R1__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-13,Encina
08_19_24_ENCAUG13_R1__E0000000__X00__240822_SG_WW__001,2024-08-13,Encina
08_19_24_PLAUG13_R1__E0000000__X00__240822_SG_WW__001,2024-08-13,Point Loma
08_19_24_SBAUG13_R2__E0000000__X00__240822_SG_WW__001,2024-08-13,South Bay
08_19_24_SBAUG13_R2__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-13,South Bay
08_19_24_PLAUG13_R1__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-13,Point Loma
08_19_24_PLAUG14_R1__E0000000__X00__240822_SG_WW__001,2024-08-14,Point Loma
08_19_24_PLAUG14_R1__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-14,Point Loma
08_19_24_SBAUG15_R1__E0000000__X00__240822_SG_WW__001,2024-08-15,South Bay
08_19_24_ENCAUG15_R2__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-15,Encina
08_19_24_SBAUG15_R1__E0000000__X00__240822_SG_WW__001.sorted.bam,2024-08-15,South Bay
08_19_24_ENCAUG15_R2__E0000000__X00__240822_SG_WW__001,2024-08-15,Encina
08_26_24_PLAUG18_R2__E0000000__X00__240829_SG_WW__001,2024-08-18,Point Loma
08_26_24_PLAUG18_R2__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-18,Point Loma
08_26_24_ENCAUG19_R2__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-19,Encina
08_26_24_ENCAUG19_R2__E0000000__X00__240829_SG_WW__001,2024-08-19,Encina
08_26_24_PLAUG19_R2__E0000000__X00__240829_SG_WW__001,2024-08-19,Point Loma
08_26_24_PLAUG19_R2__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-19,Point Loma
08_26_24_SBAUG20_R2__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-20,South Bay
08_26_24_PLAUG20_R2__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-20,Point Loma
08_26_24_PLAUG20_R2__E0000000__X00__240829_SG_WW__001,2024-08-20,Point Loma
08_26_24_SBAUG20_R2__E0000000__X00__240829_SG_WW__001,2024-08-20,South Bay
08_26_24_SBAUG22_R2__E0000000__X00__240829_SG_WW__001,2024-08-22,South Bay
08_26_24_SBAUG22_R2__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-22,South Bay
08_26_24_ENCAUG22_R1__E0000000__X00__240829_SG_WW__001,2024-08-22,Encina
08_26_24_ENCAUG22_R1__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-22,Encina
08_26_24_ENCAUG23_R2__E0000000__X00__240829_SG_WW__001,2024-08-23,Encina
08_26_24_ENCAUG23_R2__E0000000__X00__240829_SG_WW__001.sorted.bam,2024-08-23,Encina
09_03_24_PLAUG25_R1__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-08-25,Point Loma
09_03_24_PLAUG25_R1__E0000000__X00__240906_SG_WW__001,2024-08-25,Point Loma
09_03_24_SBAUG27_R2__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-08-27,South Bay
09_03_24_PLAUG27_R1__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-08-27,Point Loma
09_03_24_PLAUG27_R1__E0000000__X00__240906_SG_WW__001,2024-08-27,Point Loma
09_03_24_SBAUG27_R2__E0000000__X00__240906_SG_WW__001,2024-08-27,South Bay
09_03_24_ENCAUG28_R2__E0000000__X00__240906_SG_WW__001,2024-08-28,Encina
09_03_24_PLAUG28_R2__E0000000__X00__240906_SG_WW__001,2024-08-28,Point Loma
09_03_24_ENCAUG28_R2__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-08-28,Encina
09_03_24_PLAUG28_R2__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-08-28,Point Loma
09_03_24_ENCAUG29_R2__E0000000__X00__240906_SG_WW__001,2024-08-29,Encina
09_03_24_ENCAUG29_R2__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-08-29,Encina
09_03_24_SBAUG29_R2__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-08-29,South Bay
09_03_24_SBAUG29_R2__E0000000__X00__240906_SG_WW__001,2024-08-29,South Bay
09_10_24_PLSEP01_R1__E0000000__X00__240912_SG_WW__001,2024-09-01,Point Loma
09_16_24_ENCSEP010_R2__E0000000__X00__241003_SG_WW_1__001,2024-09-01,Encina
09_03_24_SBSEP01_R2__E0000000__X00__240906_SG_WW__001,2024-09-01,South Bay
09_03_24_SBSEP01_R2__E0000000__X00__240906_SG_WW__001.sorted.bam,2024-09-01,South Bay
09_16_24_ENCSEP010_R2__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-01,Encina
09_10_24_PLSEP01_R1__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-01,Point Loma
09_10_24_ENCSEP02_R2__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-02,Encina
09_10_24_PLSEP02_R1__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-02,Point Loma
09_10_24_ENCSEP02_R2__E0000000__X00__240912_SG_WW__001,2024-09-02,Encina
09_10_24_PLSEP02_R1__E0000000__X00__240912_SG_WW__001,2024-09-02,Point Loma
09_10_24_PLSEP03_R2__E0000000__X00__240912_SG_WW__001,2024-09-03,Point Loma
09_10_24_SBSEP03_R1__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-03,South Bay
09_10_24_PLSEP03_R2__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-03,Point Loma
09_10_24_SBSEP03_R1__E0000000__X00__240912_SG_WW__001,2024-09-03,South Bay
09_10_24_ENCSEP04_R2__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-04,Encina
09_10_24_ENCSEP04_R2__E0000000__X00__240912_SG_WW__001,2024-09-04,Encina
09_10_24_SBSEP05_R2__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-05,South Bay
09_10_24_SBSEP05_R2__E0000000__X00__240912_SG_WW__001,2024-09-05,South Bay
09_10_24_SBSEP08_R1__E0000000__X00__240912_SG_WW__001,2024-09-08,South Bay
09_10_24_SBSEP08_R1__E0000000__X00__240912_SG_WW__001.sorted.bam,2024-09-08,South Bay
09_16_24_PLSEP08_R2__E0000000__X00__241003_SG_WW_1__001,2024-09-08,Point Loma
09_16_24_PLSEP08_R2__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-08,Point Loma
09_16_24_ENCSEP09_R2__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-09,Encina
09_16_24_ENCSEP09_R2__E0000000__X00__241003_SG_WW_1__001,2024-09-09,Encina
09_16_24_SBSEP10_R1__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-10,South Bay
09_16_24_SBSEP10_R1__E0000000__X00__241003_SG_WW_1__001,2024-09-10,South Bay
09_16_24_PLSEP10_R1__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-10,Point Loma
09_16_24_PLSEP10_R1__E0000000__X00__241003_SG_WW_1__001,2024-09-10,Point Loma
09_16_24_PLSEP11_R1__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-11,Point Loma
09_16_24_PLSEP11_R1__E0000000__X00__241003_SG_WW_1__001,2024-09-11,Point Loma
09_16_24_SBSEP12_R1__E0000000__X00__241003_SG_WW_1__001,2024-09-12,South Bay
09_16_24_SBSEP12_R1__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-12,South Bay
09_16_24_ENCSEP13_R1__E0000000__X00__241003_SG_WW_1__001.sorted.bam,2024-09-13,Encina
09_16_24_ENCSEP13_R1__E0000000__X00__241003_SG_WW_1__001,2024-09-13,Encina
09_23_24_PLSEP15_R1__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-15,Point Loma
09_23_24_PLSEP15_R1__E0000000__X00__241003_SG_WW_2__001,2024-09-15,Point Loma
09_23_24_PLSEP16_R2__E0000000__X00__241003_SG_WW_2__001,2024-09-16,Point Loma
09_23_24_PLSEP16_R2__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-16,Point Loma
09_23_24_PLSEP17_R1__E0000000__X00__241003_SG_WW_2__001,2024-09-17,Point Loma
09_23_24_PLSEP17_R1__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-17,Point Loma
09_23_24_SBSEP17_R2__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-17,South Bay
09_23_24_SBSEP17_R2__E0000000__X00__241003_SG_WW_2__001,2024-09-17,South Bay
09_23_24_ENCSEP18_R2__E0000000__X00__241003_SG_WW_2__001,2024-09-18,Encina
09_23_24_ENCSEP18_R2__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-18,Encina
09_23_24_PLSEP18_R2__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-18,Point Loma
09_23_24_PLSEP18_R2__E0000000__X00__241003_SG_WW_2__001,2024-09-18,Point Loma
09_23_24_ENCSEP19_R2__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-19,Encina
09_23_24_ENCSEP19_R2__E0000000__X00__241003_SG_WW_2__001,2024-09-19,Encina
09_30_24_PLSEP22_R1__E0000000__X00__241003_SG_WW_4__001,2024-09-22,Point Loma
09_23_24_SBSEP22_R2__E0000000__X00__241003_SG_WW_2__001.sorted.bam,2024-09-22,South Bay
09_23_24_SBSEP22_R2__E0000000__X00__241003_SG_WW_2__001,2024-09-22,South Bay
09_30_24_PLSEP22_R1__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-22,Point Loma
09_30_24_PLSEP23_R2__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-23,Point Loma
09_30_24_ENCSEP23_R1__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-23,Encina
09_30_24_PLSEP23_R2__E0000000__X00__241003_SG_WW_4__001,2024-09-23,Point Loma
09_30_24_ENCSEP23_R1__E0000000__X00__241003_SG_WW_4__001,2024-09-23,Encina
09_30_24_SBSEP24_R2__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-24,South Bay
09_30_24_ENCSEP24_R2__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-24,Encina
09_30_24_ENCSEP24_R2__E0000000__X00__241003_SG_WW_4__001,2024-09-24,Encina
09_30_24_SBSEP24_R2__E0000000__X00__241003_SG_WW_4__001,2024-09-24,South Bay
09_30_24_PLSEP25_R1__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-25,Point Loma
09_30_24_PLSEP25_R1__E0000000__X00__241003_SG_WW_4__001,2024-09-25,Point Loma
09_30_24_SBSEP26_R2__E0000000__X00__241003_SG_WW_4__001,2024-09-26,South Bay
09_30_24_SBSEP26_R2__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-26,South Bay
09_30_24_ENCSEP27_R1__E0000000__X00__241003_SG_WW_4__001,2024-09-27,Encina
09_30_24_ENCSEP27_R1__E0000000__X00__241003_SG_WW_4__001.sorted.bam,2024-09-27,Encina
10_07_24_PLSEP29_R2__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-09-29,Point Loma
10_07_24_PLSEP29_R2__E0000000__X00__241018_SG_WW__001,2024-09-29,Point Loma
10_07_24_PLSEP29_R1__E0000000__X00__241018_SG_WW__001,2024-09-29,Point Loma
10_07_24_PLSEP29_R1__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-09-29,Point Loma
10_07_24_PLSEP30_R2__E0000000__X00__241018_SG_WW__001,2024-09-30,Point Loma
10_07_24_PLSEP30_R2__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-09-30,Point Loma
10_07_24_ENCOCT01_R1__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-10-01,Encina
10_07_24_ENCOCT01_R1__E0000000__X00__241018_SG_WW__001,2024-10-01,Encina
10_07_24_SBOCT01_R1__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-10-01,South Bay
10_07_24_SBOCT01_R1__E0000000__X00__241018_SG_WW__001,2024-10-01,South Bay
10_07_24_PLOCT02_R1__E0000000__X00__241018_SG_WW__001,2024-10-02,Point Loma
10_07_24_PLOCT02_R1__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-10-02,Point Loma
10_07_24_ENCOCT02_R2__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-10-02,Encina
10_07_24_ENCOCT02_R2__E0000000__X00__241018_SG_WW__001,2024-10-02,Encina
10_07_24_SBOCT03_R2__E0000000__X00__241018_SG_WW__001.sorted.bam,2024-10-03,South Bay
10_07_24_SBOCT03_R2__E0000000__X00__241018_SG_WW__001,2024-10-03,South Bay
01.08.24.ENCDEC29.R2__NA__NA__240112_WW__00X,2023-12-29,Encina
01.08.24.PLDEC31.R1__NA__NA__240112_WW__00X,2023-12-31,Point Loma
